DOMAIN,CATEGORY
baillie.com,Security
4u.com.br,Internet
rtatel.com,Telecommunications
xcm.org,XCM
trutecs.com,Technology
stackinfra.com,Infrastructure
mssm.edu,Medicine
hflbroadband.co.uk,Internet
astate.edu,Education
ecowan.fr,Hosting
serverstarter.host,Hosting
trinet-hi.com,Networking
c2.gr,Hosting
mghpcc.org,Education
roshalonline.ru,Internet
globalsat.com.mx,Telecomunications
avolo.ro,Software
crimeainfo.com,Crime
voxyonder.com,ISP
otago.ac.nz,University
essentialenergy.com.au,Energy
phibee-telecom.net,Telecom
zen.co.uk,Internet
btn.co.id,Banking
neurotel.co.za,Internet
mxbd.net,Internet
pointfibra.com.br,Fibra
as215520.net,Gaming
plox.host,Hosting
tveurosat.net,Linux
mvec.com,Electricity
cascorp.com,Material Handling
jarosz.pl,Internet
datacrunch.io,Analytics
meganetrj.com.br,Internet
2600hz.com,Telecoms
boleh.net.id,Construction
u-net.com.ua,Construction
orca.co.uk,Technology
pretcher.dp.ua,News
apsbank.com.mt,Banking
crediteurope.com.ua,Finance
mayaknet.ru,InternetServiceProvider
unused.com,Websites
flashnetwork.com.br,ISP (Internet Service Provider)
vnpt.com.vn,Telecom
cloudfly.vn,Cloud
teaspa.it,Energy
netfiber.es,Internet
coesa.com.ar,Cooperative
metrolink.tl,Transportation
elotelecom.com.br,Telecom
infodexsolutions.com,Solutions
victorymedia.rs,Telecommunications
cnc-iq.com,Manufacturing
wikimedia.org,Wiki
blinellc.com,Accounting
ip.gr,Domain Name Services
teainc.org,Consulting
intuit.com,Tax
nagra.com,Security
etsmtl.ca,Education
anaplan.com,Software
apnic.network,Networking
nus.edu.sg,University
skycomn.in,Surveillance
nextlinkinternet.com,Internet
greenheck.com,Ventilation
netix.net,Networking
alinto.com,Email
sosrbnet.com.br,Internet
creativeenergy.com.au,Fiberglass
maif.fr,Insurance
consol.de,Software
fiber2home.com.ar,Internet
dhlbroadbandnet.com,Internet
agenetworks.ro,Internet
netwe.com.br,Internet
b2btel.ru,Telecom
wolast.com,Hosting
zylex.nz,Telecoms
aut.ac.nz,Education
paratus.africa,Technology
radishnetworks.com,IT
tjc.edu,EDUCATION
cooplalonja.com.ar,Telecommunications
flixout.com,Entertainment
myrepublic.net,Internet
mosoblcom.ru,Administration
morrisdickson.com,Pharmacy
knetbroadband.com,Internet
altec.com,Construction
schlechtnet.de,Internet
tibra.com,Investment
wysiwyg.de,Software
cliu.org,Education
seanetmsc.com,Technology
fastnetbd.com,Internet
zd-lj.si,Healthcare
westada.org,Education
bergerschatz.com,Lawyer
conectabandalarga.net.br,Telecomunications
ergohestia.pl,Insurance
ap1.co.id,Airport
cyberlinkasp.com,Hosting
hydrokom.pl,Hydrology
bharatpetroleum.in,Oil
punjab.gov.in,Government
mpfciudad.gob.ar,Government
aaniin.net,Internet
pointloma.edu,Education
syf.com,Finance
cuicable.com,Cable
provedoraliancanet.com.br,Internet
corptech.it,Technology
sgdsn.gouv.fr,Government
alacrastore.com,Finance
carmel.nl,Education
net-pro.com.pl,Internet
lolc.com.kh,Finance
conid.net.br,Webdesign
unix-solutions.be,Unix
ouiheberg.com,Hosting
itsam.se,Administration
areon.net,Association
administrator.no,IT
shijicar.com,Auto
hexatom.fr,Hosting
varnamoenergi.se,Energy
danareksa.co.id,Finance
actv.ne.jp,Cable
netsos.com.br,Internet
datel-dessau.de,ISP (Internet Service Provider)
xmt.com.my,Telecommunications
aueb.gr,University
auroraenergy.com.au,Energy
k2telecom.com.br,Telecomunication
forestriverinc.com,RVs
worria.com,Hosting
enatelecom.com,Telecom
enetsolutions.net,IT
ztn.com.pk,Webhosting
maisveloz.com.br,Construction
kb-avia.com,Aviation
digital-network.net,Technology
optiwisp.cl,Webhosting
com-pair.net,Internet
telpin.com.ar,Internet
sintesa.co.id,Internet
odec.com,Energy
citizens.support,Technology
iith.ac.in,Education
leadtime.ae,Telecom
id.kz,IT
cyss.com.br,Security
angola-ixp.ao,Internet Exchange Point
bellfoodgroup.com,Meat/Food
provedorsmart.com.br,Internet
luksus.net.pl,Internet
rutube.ru,Video
cloudhost.asia,Hosting
pichet.com,Real Estate
meshnetworkbd.net,Internet
ekurhuleni.gov.za,Municipality
lawireless.it,Law
lago.fi,Furniture
henryford.com,Healthcare
teya.com,Technology
santander.com.br,Banking
equans.nl,Engineering
capricornspace.com.au,Space
matooma.com,IoT
studentuniverse.com,Travel
workplaceoptions.co.uk,HumanResources
telemach.hr,Internet
