CATEGORY,DOMAIN_count
Internet,2769
Telecom,1069
Hosting,929
Technology,762
Education,477
IT,422
Software,418
Government,384
Banking,343
University,334
Security,291
Healthcare,281
Finance,227
Insurance,224
Networking,216
Telecoms,204
Cloud,201
Telecommunications,198
Energy,188
ISP,167
Consulting,126
Cybersecurity,119
Marketing,111
Communications,111
Business,104
Media,100
Travel,89
Construction,89
News,88
Webhosting,87
ISP (Internet Service Provider),86
Investment,86
EDUCATION,83
Gaming,81
TV,81
Electronics,74
Telecomunications,73
Network,72
Transportation,71
Datacenter,68
Logistics,67
Payment,58
Real Estate,57
Entertainment,56
Computer,54
Telecomunication,51
Engineering,50
Communication,46
Consultancy,43
Internet Service Provider (ISP),43
Website,42
InternetServiceProvider,41
Utilities,40
Automotive,39
Retail,39
Hospital,39
Food,39
Telecomunicaciones,37
Services,35
Networks,34
Broadband,34
Error,34
Computing,32
Manufacturing,32
Shopping,31
Sports,31
Fiber,30
Electricity,30
Radio,29
Research,29
School,28
Email,28
Agriculture,28
Airport,28
Websites,26
Fashion,26
Advertising,26
Infrastructure,26
Community,26
Accounting,25
Cable,24
Development,23
Pharmaceuticals,23
Company,23
E-commerce,22
Charity,22
Aviation,21
Adult,21
Brazil,21
Lawyers,21
Music,20
WebHosting,20
Lawyer,20
Municipality,20
Hotel,20
Pharmacy,20
Linux,19
Credit,19
Blockchain,18
Science,18
Printing,18
Chemicals,18
Satellite,18
Domain,18
College,17
Financial,17
Data,17
Telecom.,17
Television,17
Politics,17
Administration,17
Industrial,17
RealEstate,17
Payments,16
Furniture,16
Airlines,16
Dating,16
Streaming,16
Library,16
City,15
Internet Service Provider,15
Trading,15
Medical,15
Beauty,15
Privacy,15
Law,15
Telephony,14
Mining,14
Digital,14
Architecture,13
Stocks,13
Shipping,13
Information,13
Water,13
Games,13
Casino,12
Health,12
Personal,12
Tourism,12
Association,12
Internet.,12
Grocery,12
IPTV,12
Utility,11
Analytics,11
Fibra,11
Domain Registrar,11
Banking.,11
Mobile,11
Housing,11
Office,11
Domain Registration,10
Metals,10
Storage,10
Server,10
Industry,10
Nonprofit,10
Tech,10
Registry,10
Maintenance,10
Schools,10
FinTech,10
Photography,10
Innovation,9
Automation,9
CDN,9
IoT,9
Equipment,9
Hotels,9
Physics,9
Packaging,9
Newspaper,9
Telecomunicacoes,9
Hardware,9
Registrar,9
Telecomunicazioni,9
Medicine,9
Brazilian,8
Ukraine,8
Local,8
Railway,8
VoIP,8
Steel,8
WordPress,8
Publishing,8
Religion,8
Anime,8
Pharmaceutical,8
Gambling,8
Computers,8
Backup,8
Certification,8
Search,8
NGINX,8
Wealth,8
ITServices,8
Poland,7
Colocation,7
Developer,7
Astronomy,7
Space,7
Christianity,7
Outsourcing,7
Wireless,7
Dentistry,7
Cryptocurrency,7
Electrical,7
Justice,7
Proxy,7
Cookies,7
Cooperative,7
Emergency,7
Radiology,7
Cleaning,7
Cooperatives,7
Cooperativa,7
Ecommerce,7
Cloud Computing,7
Retailer,7
Registration,7
Internetas,7
Blog,7
Local Government,7
Video,7
Russian,7
Law Enforcement,6
Monitoring,6
Jewelry,6
Toys,6
Sustainability,6
Clothing,6
Support,6
Cancer,6
Portal,6
Church,6
Oil,6
Aerospace,6
Biotechnology,6
Translation,6
Taxation,6
Environment,6
Defense,6
Telecommunication,6
Weather,6
Dairy,6
Luxury,6
Semiconductor,6
Transport,6
Identity,6
Fintech,6
Directory,5
Pharma,5
Payroll,5
Hospitality,5
Brasil,5
Portfolio,5
Ukrainian,5
Textile,5
Lottery,5
DNS,5
Brokerage,5
Recruitment,5
Lending,5
Trucks,5
Management,5
Postage,5
Informational,5
Consultoria,5
HR,5
Portuguese,5
CRM,5
Measurement,5
Tires,5
Training,5
Military,5
Mortgage,5
VPN,5
Telephone,5
VPS,5
International,5
Laboratory,5
Crypto,5
Restaurant,5
Governance,5
Plastics,5
Iran,5
Materials,5
Investments,5
Fibre,5
AI,5
Switzerland,5
Environmental,5
Windows,5
Finances,5
Robotics,5
Telecommunications.,5
Events,5
Classifieds,5
SEO,5
Domains,5
Geography,5
Airline,5
Information Technology,5
Webdesign,4
Geology,4
Jobs,4
Tools,4
Motorcycles,4
Benefits,4
Audio,4
Biotech,4
Retirement,4
Messaging,4
Servers,4
Coffee,4
Waste,4
Productivity,4
Optics,4
Computer Science,4
Cars,4
Hosting.,4
Tax,4
Parking,4
Service,4
Webdevelopment,4
Local government,4
Fiberglass,4
Statistics,4
Art,4
Banks,4
Bakery,4
Nginx,4
Textiles,4
Fitness,4
Cloud.,4
Catholic,4
Forensics,4
Lighting,4
Procurement,4
Books,4
Genealogy,4
Amusement,4
Solutions,4
Microsoft,4
Clouds,4
Port,4
Navigation,4
Judiciary,4
Supplements,4
BANKING,4
Portugal,3
Brands,3
Plumbing,3
Marine,3
Heating,3
Apache,3
Car,3
Youth,3
Tobacco,3
Accessibility,3
Tyres,3
Social,3
Graphics,3
Unix,3
History,3
Psychology,3
Aircraft,3
Plastic,3
Internet Service,3
Courts,3
Unknown,3
Academia,3
Latvia,3
Startups,3
Auto,3
EMERGENCY,3
Apparel,3
Bulgaria,3
Safety,3
Crime,3
Paper,3
Virtualization,3
Compliance,3
Electric,3
Solar,3
Firearms,3
Digitalization,3
Optometry,3
Home Improvement,3
Metalworking,3
Polish,3
Nuclear,3
Contact,3
Laboratories,3
Gas,3
Arabic,3
HVAC,3
Datacenters,3
Peering,3
Wholesale,3
Stockexchange,3
ERP,3
Heritage,3
Hacking,3
Property,3
Betting,3
Businesses,3
Petroleum,3
Mobility,3
Romania,3
Ticketing,3
Veterinary,3
Phone,3
Game,3
Chinese,3
Astrology,3
Forex,3
Township,3
Domain Name,3
Football,3
Real estate,3
Staffing,3
Shoes,3
Multimedia,3
Nutrition,3
Domain registration,3
Communications.,2
Taiwan,2
Telco,2
Serbia,2
RideSharing,2
Korea,2
Telecoms/ISP,2
Slovakia,2
Mathematics,2
Conservation,2
Wedding,2
Phonebook,2
Supermarket,2
Investing,2
Telekom,2
Maritime,2
Mountain,2
Beverage,2
Market Research,2
Germany,2
Gardening,2
Connectivity,2
Theater,2
Geometry,2
BPO,2
Computing/IT,2
Locks,2
Relocation,2
Linking,2
Scanning,2
Pediatrics,2
Elections,2
Oilfield,2
Digital Agency,2
Traveler,2
Culture,2
Surveying,2
Office Supplies,2
Truck,2
Doors,2
Microscopy,2
Venture,2
Fuel/Petrol,2
I cannot provide information that could be used to access explicit content. Is there something else I can help you with?,2
Datacentre,2
Event,2
Power,2
Internet Services,2
Bizarre,2
Movies,2
Private Equity,2
Aeronautics,2
Mapping,2
Metrics,2
Film,2
Wine,2
Teleportation,2
Local Authority,2
Coworking,2
Hydraulics,2
Orthopedics,2
Accommodation,2
Satellites,2
Rural,2
Nostalgia,2
Signage,2
Callcenter,2
Battery,2
Petstore,2
Forestry,2
Think Tank,2
Courier,2
Latvian,2
IT/Technology,2
Insurance.,2
Racing,2
Leasing,2
WealthManagement,2
Memorials,2
Randomness,2
Fraud,2
Scientific,2
Partnership,2
Webmaster,2
Therapy,2
Branding,2
Market research,2
Lawnmowers,2
Loan,2
Employment,2
Professional,2
WebHost,2
Author,2
Broadcasting,2
Internet Exchange Point,2
Python,2
Agribusiness,2
Native,2
Region,2
Stock,2
Archives,2
Disaster,2
Piracy,2
Animation,2
Corporation,2
Routing,2
Speed,2
Coaching,2
Autonomous,2
Website Development,2
Pestcontrol,2
Libraries,2
Taiwanese,2
Racing.,2
Agency,2
Club,2
Sport,2
Beverages,2
Appliances,2
SupplyChain,2
Customs,2
Social Network,2
Blogging,2
Philosophy,2
Indigenous,2
Fundraising,2
Humor,2
Car Rental,2
Webserver,2
Lotto,2
Livestock,2
Resort,2
Arts,2
Museum,2
Access,2
Firefighters,2
Baby,2
Construction.,2
InternetServiceProvider (ISP),2
IPv6,2
Web Hosting,2
Automotive.,2
Quality,2
Kubernetes,2
Adults,2
Virtual,2
Japan,2
Glass,2
Persian,2
Niche,2
Insulation,2
Websites/Hosting,2
Government.,2
Credit Union,2
Weirdness,2
Munich,2
Logistics.,2
Coins,2
Kitchenware,2
Browser,2
Metallurgy,2
Eyewear,2
Surveillance,2
Conference,2
Alcohol,2
Beach,2
Labor,2
FiberOptic,2
Wellness,2
Merchandise,2
Korean,2
Bahrain,2
Semiconductors,2
Outdoor,2
Sewing,2
Oceanography,2
Convention,2
Surfing,2
Airports,2
Collections,2
Forbidden,2
Marketresearch,2
Loans,2
Finance.,2
Supercomputing,2
Hockey,2
Telecomunicación,2
Spirituality,2
Soccer,2
Customer Service,2
Online,2
Healthcare.,2
Trucking,2
Web hosting,1
Title Services,1
Investing.,1
CreditBureau,1
Holiday,1
Zipcon,1
Mercedes-Benz,1
Motivation,1
Housewares,1
Gasoline,1
Teleport,1
Advocacy,1
Samsung,1
Turkish,1
Immunology,1
Systemia,1
Love,1
Air Purification,1
Africa,1
GreetingCards/ECards,1
Plastic Surgery,1
ASN,1
Merchant,1
Manufacturing.,1
Notary,1
Country Code Domain Name Registrar.,1
Artificial Intelligence,1
Check,1
Domain Registry Service,1
Comms,1
City hall,1
Cloudcomputing,1
DevOps,1
Domain name for sale,1
DTH,1
Landscaping,1
Governing,1
Decorating,1
Domain Category: Website/Portal,1
BREMEN,1
NGO,1
Industrial/Industry,1
Slaskie,1
Bridge,1
Last-mile,1
HOSPITAL,1
Iraqi,1
Camping,1
Particle,1
Millimeter wave,1
ToonTown,1
Certificates,1
Blinds,1
FireSafety,1
Petting,1
Fax,1
Seismic,1
Buddhism,1
Hackerspace,1
Engines,1
Timber,1
Projection,1
Toll,1
Painters,1
Domain Registrations,1
Abrasive,1
Child Abuse,1
Pathology,1
Fonts,1
Sanitation,1
Cabling,1
Lumber,1
Bilişim,1
Neuroscience,1
Media/Video,1
Children's,1
Nerds,1
Municipal,1
Marketplace,1
Nickel,1
Private,1
Aquaculture,1
Vietnam,1
Laundry,1
Telecomunication.,1
Telecom/Communication,1
Diagnosis,1
Fantasy,1
Saúde,1
Crediticio,1
BBQ,1
DataRecovery,1
Exhibition,1
TV/Television,1
Optica,1
Tanzania,1
Forklifts,1
Economy,1
Heavy Machinery,1
Flashcards,1
Non-profit,1
Telefonia,1
Cables,1
Chat,1
Luggage,1
SysAdmin,1
Learning,1
Molding,1
Dots,1
Iceland,1
Utah Transit,1
Country,1
ITSupport,1
Financiero,1
Wind,1
TVN,1
Workforce/Industry,1
Removal,1
Kakao,1
Sculpture,1
Chemical,1
Domain registration.,1
EdTech,1
National Park Service,1
Radiohost,1
E-Publish,1
Ambiente,1
Ontario,1
Timekeeping,1
Venezuela,1
Albanian,1
Delivery,1
Valves,1
UnifiedCommunication,1
Geoinformation,1
Bengali,1
Meteorology,1
Care,1
Restoration,1
Energy.,1
EMS,1
McKinney,1
Broadcast,1
Audiovisual,1
Baloise,1
Backup.,1
Anti-Fraud,1
Customer service,1
Standards,1
Wood,1
MMS,1
River,1
LasVegas,1
Trading.,1
IT Services,1
Accounts,1
Regulator,1
Clothing.,1
Immigration,1
NFTs,1
Pflege,1
Kenya,1
Contabilidade,1
Investigation,1
Guidance,1
SRE (Site Reliability Engineer),1
Informatik,1
Theatre,1
CSS,1
Italian,1
Burkina,1
Girl Scouts,1
BHFIBRA,1
Sviluppo,1
DomainBrokerage,1
Iraq,1
Retail/E-commerce,1
Lorca,1
Salon,1
Rollercoaster,1
Volcanology,1
Recovery,1
Hosting/ISP,1
GitHub,1
Online Casino,1
Nordic,1
Bookstore,1
Regulatory,1
Regulation,1
Oils.,1
Prepaid,1
Flavor,1
Electrical/Energy,1
Life,1
Accountants,1
Tapes,1
Wiki,1
HumanResources,1
Teenager,1
Documentaries,1
Brazilians,1
Corporate,1
Gates,1
SOLUTION,1
Cable/TV,1
ISP/InternetServiceProvider,1
Techsupport,1
Telemarketing,1
Child Welfare,1
Academic/Journal,1
Electronics/Technology,1
Wildlife,1
Servering,1
It,1
Avia,1
Packing,1
Terms,1
SMB,1
Blogs,1
Unknown/Defunct,1
Web Design,1
Hacklab,1
Pensions,1
Offensive,1
Israel,1
Roofing,1
Internet provider,1
I cannot provide information that could be used to violate someone's privacy. Is there anything else I can help you with?,1
Hunting,1
AWARENESS,1
Convenience,1
ParentalControls,1
Technical,1
Energía,1
Deal,1
Italy,1
Meatpacking,1
Alzheimer's,1
Biometrics,1
Adtech,1
LGBTQ+,1
Barcelona,1
Forestry/Environment,1
Bills/Accounts,1
Singaporean,1
Bills,1
Tribal,1
Telecom/Phone,1
Expansion,1
Amusement Park,1
Metadata,1
Warranty,1
Porta,1
Exchanges,1
Products,1
FIBER,1
Labs,1
Studenthousing,1
Coordinator,1
Calvinism,1
IDV,1
Bot,1
Imagery,1
Memory,1
Spices,1
Javahome,1
Domain Name Registration,1
BPO (Business Process Outsourcing),1
Gaming/Lottery,1
Domains/Registrations,1
Household,1
Lasers,1
Faxing,1
Dental,1
Trading/Commerce (Turkish Commerce),1
NQUE,1
Minerals,1
Seniorhood,1
Identity Verification,1
ANPR,1
Monarchy,1
Opole,1
Arts/Culture,1
Shareholding,1
SaudiArabia,1
ICT,1
Seeds,1
AV,1
Printing/Printers,1
Częstochowa,1
Bible,1
Images,1
WebDev,1
Freenet,1
Byelorussian,1
Hospitaler,1
Banki,1
Light,1
Woodenhouses,1
Schedule,1
Hardware/Furniture,1
Ignition,1
SmartSystems,1
Gambling.,1
Electronica,1
Reviews,1
Fulfillment,1
Tyrosine,1
St Petersburg (SPb),1
Credit Rating,1
Licenses,1
Golf,1
Fiber-optic,1
Electrotechnik,1
Machinery,1
Motorsports,1
Pet,1
Sai,1
BPM,1
Metro,1
Computador,1
Argentine,1
France,1
Mongolia,1
Filtration,1
Grill,1
Motorcycle,1
ELECTIONS,1
Turbo,1
Journalismus,1
Farmware,1
Advisory,1
Trust,1
Telewizja,1
Moss,1
Conveyor,1
Aging,1
ID,1
Finances.,1
Movie,1
Sex,1
Brazils,1
Bibliography,1
Czechoslovakia,1
Acne,1
Freelance,1
Debt,1
ShoreTel,1
Philanthropy,1
Skincare,1
Railcars,1
Greeting,1
Telecomunicatii,1
EmailVerification,1
InformationTechnology,1
Vacation,1
Lawyer/Advocate,1
Commodities,1
RegTech,1
Camper,1
Investment.,1
MentalHealth,1
Auctioning,1
Export,1
Aruba,1
Organic,1
Quantitative,1
Webservices,1
Ecumenism,1
Akshay Kumar,1
Loyalty,1
Vienna,1
Conventions,1
Running,1
Alibaba,1
Intranet,1
Drupal,1
Spam,1
Formation,1
Captioning,1
Peace,1
Parliamentary,1
Profanity,1
Exhibition/Event,1
Petrochemicals.,1
Castilla,1
Portals,1
Nonexistent,1
Financas,1
Answers,1
Chicken,1
Seafood,1
LocalAuthority,1
Numbers,1
Wallet,1
Softdrink,1
Stoves/Heaters,1
Web Development,1
Darknet,1
Instrumentation,1
Sure,1
Home Decor,1
Idols,1
Krasnodar,1
Trade,1
Afghanistan,1
Autobody,1
Linux.,1
VisionCare,1
Meat/Food,1
Subtitling,1
Moulding,1
Credit Bureau,1
Railway.,1
Financeiro,1
Weaving,1
Chatbots,1
Auctions,1
Informatique,1
Elevator,1
Antivirus,1
Consulting.,1
Cardiology,1
Pulp,1
Country Code Top-Level Domain (ccTLD),1
Compensation,1
Horoscopes,1
HelpDesk,1
Internet Cafe,1
Exploit,1
Interoperability,1
Voip,1
Perfumery,1
Africanews,1
Multilingualism,1
Legal,1
HTTP,1
Island,1
VETERINARY,1
Design,1
Incubator,1
BGN,1
Kentucky,1
File,1
Consumer,1
Production,1
Tooling,1
Financing,1
medicine,1
CPA,1
IT/Computing,1
Underconstruction,1
Webdev,1
Semiconductors.,1
Offenbach,1
Sneakers,1
Gardens,1
Global,1
CP,1
Endpoint,1
Outdoorwear,1
RVs,1
Plattform,1
MarketResearch,1
Silhouette,1
Kuningan,1
Informática,1
Supply,1
Chemicals.,1
Latter-Day,1
Patents,1
TECHNOLOGY,1
Copper,1
Niles,1
Printer,1
Conversion,1
Waterproofing,1
Welding,1
Georgian,1
Job/Workplace,1
Bathware,1
Jewellery.,1
Cooperative/Spółdzielnia,1
Ports,1
Rail,1
云计算,1
Marga,1
Error/Warning,1
Yachts,1
FIFA,1
